Year,Region,Revenue_USD_Thousands,Paid_Memberships_Thousands,Subscriber_Count_Type,ARM_USD_Monthly,Revenue_Share_Pct,Source
2020,UCAN,11455396,73936,Reported,12.9113873259756,0.462719488784338,Netflix 10-K / ARS filings (SEC EDGAR); 2023 UCAN & EMEA memberships and all 2025 regional memberships are estimated — see Notes_and_Assumptions
2020,EMEA,7772252,66698,Reported,9.71075094705489,0.313945713630768,Netflix 10-K / ARS filings (SEC EDGAR); 2023 UCAN & EMEA memberships and all 2025 regional memberships are estimated — see Notes_and_Assumptions
2020,LATAM,3156727,37537,Reported,7.00803429505111,0.127510136155199,Netflix 10-K / ARS filings (SEC EDGAR); 2023 UCAN & EMEA memberships and all 2025 regional memberships are estimated — see Notes_and_Assumptions
2020,APAC,2372300,25492,Reported,7.75504733511167,0.0958246614296952,Netflix 10-K / ARS filings (SEC EDGAR); 2023 UCAN & EMEA memberships and all 2025 regional memberships are estimated — see Notes_and_Assumptions
2021,UCAN,12972100,75215,Reported,14.3722440116112,0.439501338551112,Netflix 10-K / ARS filings (SEC EDGAR); 2023 UCAN & EMEA memberships and all 2025 regional memberships are estimated — see Notes_and_Assumptions
2021,EMEA,9699819,74036,Reported,10.9179081798044,0.328634795769653,Netflix 10-K / ARS filings (SEC EDGAR); 2023 UCAN & EMEA memberships and all 2025 regional memberships are estimated — see Notes_and_Assumptions
2021,LATAM,3576976,39961,Reported,7.45930615683625,0.121189764183533,Netflix 10-K / ARS filings (SEC EDGAR); 2023 UCAN & EMEA memberships and all 2025 regional memberships are estimated — see Notes_and_Assumptions
2021,APAC,3266601,32632,Reported,8.34201857072812,0.110674101495702,Netflix 10-K / ARS filings (SEC EDGAR); 2023 UCAN & EMEA memberships and all 2025 regional memberships are estimated — see Notes_and_Assumptions
2022,UCAN,14084643,74296,Reported,15.7978928879078,0.447559874129691,Netflix 10-K / ARS filings (SEC EDGAR); 2023 UCAN & EMEA memberships and all 2025 regional memberships are estimated — see Notes_and_Assumptions
2022,EMEA,9745015,76729,Reported,10.5838025170839,0.309661926595651,Netflix 10-K / ARS filings (SEC EDGAR); 2023 UCAN & EMEA memberships and all 2025 regional memberships are estimated — see Notes_and_Assumptions
2022,LATAM,4069973,41699,Reported,8.13363429978337,0.129329270439531,Netflix 10-K / ARS filings (SEC EDGAR); 2023 UCAN & EMEA memberships and all 2025 regional memberships are estimated — see Notes_and_Assumptions
2022,APAC,3570221,38023,Reported,7.82469601732285,0.113448928835128,Netflix 10-K / ARS filings (SEC EDGAR); 2023 UCAN & EMEA memberships and all 2025 regional memberships are estimated — see Notes_and_Assumptions
2023,UCAN,14873783,80110,Estimated,15.4722496151126,0.44213972948882,Netflix 10-K / ARS filings (SEC EDGAR); 2023 UCAN & EMEA memberships and all 2025 regional memberships are estimated — see Notes_and_Assumptions
2023,EMEA,10556487,88770,Estimated,9.90996113551876,0.313803307909779,Netflix 10-K / ARS filings (SEC EDGAR); 2023 UCAN & EMEA memberships and all 2025 regional memberships are estimated — see Notes_and_Assumptions
2023,LATAM,4446461,45997,Reported,8.05570834329775,0.132175994750131,Netflix 10-K / ARS filings (SEC EDGAR); 2023 UCAN & EMEA memberships and all 2025 regional memberships are estimated — see Notes_and_Assumptions
2023,APAC,3763727,45338,Reported,6.91790367168086,0.11188096785127,Netflix 10-K / ARS filings (SEC EDGAR); 2023 UCAN & EMEA memberships and all 2025 regional memberships are estimated — see Notes_and_Assumptions
2024,UCAN,17359369,89600,Reported,16.1452464657738,0.44510100083162,Netflix 10-K / ARS filings (SEC EDGAR); 2023 UCAN & EMEA memberships and all 2025 regional memberships are estimated — see Notes_and_Assumptions
2024,EMEA,12387035,101300,Reported,10.1900584073708,0.317608415135153,Netflix 10-K / ARS filings (SEC EDGAR); 2023 UCAN & EMEA memberships and all 2025 regional memberships are estimated — see Notes_and_Assumptions
2024,LATAM,4839816,53300,Reported,7.56694183864916,0.124094772421791,Netflix 10-K / ARS filings (SEC EDGAR); 2023 UCAN & EMEA memberships and all 2025 regional memberships are estimated — see Notes_and_Assumptions
2024,APAC,4414746,57300,Reported,6.42051483420593,0.113195811611435,Netflix 10-K / ARS filings (SEC EDGAR); 2023 UCAN & EMEA memberships and all 2025 regional memberships are estimated — see Notes_and_Assumptions
2025,UCAN,19957152,96600,Estimated,17.216314699793,0.441695684194395,Netflix 10-K / ARS filings (SEC EDGAR); 2023 UCAN & EMEA memberships and all 2025 regional memberships are estimated — see Notes_and_Assumptions
2025,EMEA,14514646,109200,Estimated,11.0765003052503,0.321241051619462,Netflix 10-K / ARS filings (SEC EDGAR); 2023 UCAN & EMEA memberships and all 2025 regional memberships are estimated — see Notes_and_Assumptions
2025,LATAM,5357521,57400,Estimated,7.77805023228804,0.118573727537919,Netflix 10-K / ARS filings (SEC EDGAR); 2023 UCAN & EMEA memberships and all 2025 regional memberships are estimated — see Notes_and_Assumptions
2025,APAC,5353717,61800,Estimated,7.21914374325782,0.118489536648223,Netflix 10-K / ARS filings (SEC EDGAR); 2023 UCAN & EMEA memberships and all 2025 regional memberships are estimated — see Notes_and_Assumptions
